City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Molchanovo,RU,72.68,light rain,57.5817,83.7692,Yut Inn
6,Chapais,CA,62.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
8,Khomutovo,RU,77.61,overcast clouds,52.4658,104.4025,"Almaznaia,48"
11,Mikhaylovka,RU,72.79,overcast clouds,50.06,43.2379,5 Komnat
19,Atuona,PF,76.69,few clouds,-9.8,-139.0333,Villa Enata
20,Anloga,GH,74.43,overcast clouds,5.7947,0.8973,Pin Drop Hotel
27,Hilo,US,77.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Udachnyy,RU,77.63,light rain,66.4167,112.4,Severnoye Siyaniye
31,Santa Maria Del Oro,MX,70.18,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
34,Rudsar,IR,79.41,overcast clouds,37.1376,50.288,Hotel Bahar
35,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
37,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
41,Carnarvon,AU,72.37,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
42,Flinders,AU,62.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
46,Kapoeta,SS,70.16,overcast clouds,4.7717,33.5903,Eastgate Hotel
50,Saint-Philippe,RE,74.21,scattered clouds,-21.3585,55.7679,Le four à pain
51,Nelson Bay,AU,66.09,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
52,Lompoc,US,68.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
53,Nantucket,US,73.15,scattered clouds,41.2835,-70.0995,Jared Coffin House
54,San Quintin,MX,68.97,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
55,Mayo,US,77.09,clear sky,38.8876,-76.5119,Resorts Resource Group International
57,Pella,RU,63.03,few clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
58,Izhmorskiy,RU,74.98,clear sky,56.194,86.6414,Gostinitsa Ipk Yedigarovykh
60,Sao Joao Da Ponte,BR,65.82,clear sky,-15.9292,-44.0078,Hotel da Cidade
62,Harper,LR,74.93,overcast clouds,4.375,-7.7169,Screensaver
64,Kintampo,GH,70.09,light rain,8.0563,-1.7306,Adomaa Memorial Hotel
68,Surgut,RU,64.58,scattered clouds,61.25,73.4167,Business Hotel
70,Karonga,MW,68.34,scattered clouds,-9.9333,33.9333,Sumuka Inn
71,Monopoli,IT,79.75,clear sky,40.9559,17.2896,Il Melograno
75,Nuevitas,CU,79.34,scattered clouds,21.5453,-77.2644,Hotel Caonaba
76,Kurumkan,RU,62.82,overcast clouds,54.3,110.3,Ilikchin
77,Baranoa,CO,79.45,few clouds,10.7941,-74.9164,Hotel Manzanares
83,Rikitea,PF,72.9,light rain,-23.1203,-134.9692,People ThankYou
84,Canavieiras,BR,73.58,scattered clouds,-15.675,-38.9472,Bahiadomizil
85,Shelburne,CA,62.76,clear sky,44.0787,-80.2041,The Retreat at the Farm
92,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
94,Pascagoula,US,77.04,clear sky,30.3658,-88.5561,Regency Inn
95,Port Hardy,CA,60.78,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
96,Bouna,CI,69.89,light rain,9.2667,-3.0,Hôtel lababa
98,Iskateley,RU,62.92,overcast clouds,67.6803,53.1512,Hostel Agat
99,Jamestown,US,62.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
102,Oktyabrskoye,RU,71.74,clear sky,43.0645,44.7417,Prolesok Mini-hotel
107,Encruzilhada,BR,60.01,clear sky,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
108,Marfino,RU,68.34,clear sky,55.7028,37.3822,Nemchinovka-Park
109,Ambon,ID,75.34,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
112,Mananjary,MG,67.05,clear sky,-21.2167,48.3333,Vahiny Lodge
114,Nikolskoye,RU,63.88,clear sky,59.7035,30.7861,Tourist House - Sablino
116,Nouadhibou,MR,70.7,broken clouds,20.931,-17.0347,El Medina
117,Anadyr,RU,60.49,overcast clouds,64.75,177.4833,Отке17.ру — жильё для командированных
118,Saryozek,KZ,75.02,overcast clouds,44.3583,77.9753,Gostinitsa
124,Itupiranga,BR,79.12,scattered clouds,-5.1347,-49.3267,Hotel Panorama
129,Acajutla,SV,79.09,overcast clouds,13.5928,-89.8275,Laureles
130,Jumla,NP,69.17,broken clouds,29.2747,82.1838,Royal Garden Hotel
134,Ust-Nera,RU,73.78,overcast clouds,64.5667,143.2,Hotel Ust-Nera
135,Touros,BR,75.94,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
139,Usinsk,RU,65.32,broken clouds,65.9939,57.5281,Dobro Pozhalovaty
141,Nemuro,JP,72.09,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
142,Kutum,SD,69.15,moderate rain,14.2,24.6667,Dibbo areaمنطقة دبو
144,Arraial Do Cabo,BR,66.34,clear sky,-22.9661,-42.0278,Pousada Porto Praia
145,Salinopolis,BR,78.48,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
146,At-Bashi,KG,67.87,overcast clouds,41.1702,75.8106,Hostel At-Bashy
150,Kodiak,US,62.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
151,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
154,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
155,Andenes,NO,60.93,few clouds,69.3143,16.1194,Hotell Marena
156,Sao Joao Da Barra,BR,61.9,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
159,Isangel,VU,74.57,moderate rain,-19.55,169.2667,Tanna Lodge
162,Steinbach,DE,67.48,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
