City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,82.38,81,40,11.5,scattered clouds
1,Muroto,JP,33.2833,134.15,83.25,81,57,7.14,broken clouds
2,Molchanovo,RU,57.5817,83.7692,72.68,73,100,6.06,light rain
3,Punta Arenas,CL,-53.15,-70.9167,42.91,61,0,5.75,clear sky
4,Snezhnogorsk,RU,69.1933,33.2531,56.98,91,99,2.59,overcast clouds
5,Samarai,PG,-10.6167,150.6667,80.89,79,9,11.18,clear sky
6,Chapais,CA,49.7834,-74.8492,62.38,85,99,5.61,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,47.14,82,32,4.21,scattered clouds
8,Khomutovo,RU,52.4658,104.4025,77.61,64,91,10.29,overcast clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,45.59,68,42,10.85,scattered clouds
10,Aberdeen,GB,57.1437,-2.0981,55.89,90,100,3.44,overcast clouds
11,Mikhaylovka,RU,50.06,43.2379,72.79,60,93,13.47,overcast clouds
12,Namatanai,PG,-3.6667,152.4333,83.95,69,78,10.27,light rain
13,Chuy,UY,-33.6971,-53.4616,47.95,80,50,4.05,scattered clouds
14,Hithadhoo,MV,-0.6,73.0833,80.1,76,100,16.96,light rain
15,Albany,US,42.6001,-73.9662,64.92,88,0,4.16,clear sky
16,Prachuap Khiri Khan,TH,12.2167,99.75,90.57,56,100,10.02,overcast clouds
17,Bluff,NZ,-46.6,168.3333,48.79,74,67,13.35,broken clouds
18,Malusac,PH,14.8587,120.6215,87.19,81,99,8.52,overcast clouds
19,Atuona,PF,-9.8,-139.0333,76.69,78,15,13.49,few clouds
20,Anloga,GH,5.7947,0.8973,74.43,85,100,14.09,overcast clouds
21,Castro,BR,-24.7911,-50.0119,44.08,85,7,3.24,clear sky
22,Poso,ID,-1.3959,120.7524,82.63,82,65,1.63,broken clouds
23,Curup,ID,-3.4667,102.5333,81.77,64,98,1.59,overcast clouds
24,Tuatapere,NZ,-46.1333,167.6833,44.62,86,77,8.46,light rain
25,Kalmunai,LK,7.4167,81.8167,84.61,66,97,3.18,overcast clouds
26,Paamiut,GL,61.994,-49.6678,42.76,93,83,9.01,broken clouds
27,Hilo,US,19.7297,-155.09,77.29,95,60,6.11,broken clouds
28,Udachnyy,RU,66.4167,112.4,77.63,53,72,7.94,light rain
29,Busselton,AU,-33.65,115.3333,57.16,69,71,11.86,broken clouds
30,Kaitangata,NZ,-46.2817,169.8464,43.43,86,96,11.56,overcast clouds
31,Santa Maria Del Oro,MX,25.9333,-105.3667,70.18,59,90,3.78,overcast clouds
32,Cape Town,ZA,-33.9258,18.4232,47.12,92,25,6.02,scattered clouds
33,Hobart,AU,-42.8794,147.3294,53.46,71,75,10.36,light rain
34,Rudsar,IR,37.1376,50.288,79.41,75,85,2.26,overcast clouds
35,Avarua,CK,-21.2078,-159.775,75.25,73,40,14.97,scattered clouds
36,Tasiilaq,GL,65.6145,-37.6368,35.76,59,20,6.6,few clouds
37,Vaini,TO,-21.2,-175.2,77.16,94,20,9.22,few clouds
38,Ushuaia,AR,-54.8,-68.3,40.66,81,20,21.85,few clouds
39,Kahului,US,20.8947,-156.47,80.62,65,40,21.85,smoke
40,Trelew,AR,-43.249,-65.3051,41.81,67,59,8.08,broken clouds
41,Carnarvon,AU,-24.8667,113.6333,72.37,35,38,7.96,scattered clouds
42,Flinders,AU,-34.5833,150.8552,62.38,55,100,8.01,overcast clouds
43,Qaanaaq,GL,77.484,-69.3632,39.88,70,17,4.97,few clouds
44,Thompson,CA,55.7435,-97.8558,49.51,68,80,5.39,broken clouds
45,Ostrovnoy,RU,68.0531,39.5131,63.32,74,63,9.71,broken clouds
46,Kapoeta,SS,4.7717,33.5903,70.16,88,99,5.95,overcast clouds
47,Port Alfred,ZA,-33.5906,26.891,54.12,71,12,20.47,light rain
48,Gravdal,NO,68.1214,13.5031,58.21,72,4,6.62,clear sky
49,Altay,CN,47.8667,88.1167,80.87,31,76,8.43,broken clouds
50,Saint-Philippe,RE,-21.3585,55.7679,74.21,72,39,14.29,scattered clouds
51,Nelson Bay,AU,-32.7167,152.15,66.09,54,100,5.99,overcast clouds
52,Lompoc,US,34.6391,-120.4579,68.14,93,0,4.61,clear sky
53,Nantucket,US,41.2835,-70.0995,73.15,90,40,0.0,scattered clouds
54,San Quintin,MX,30.4833,-115.95,68.97,82,10,7.14,clear sky
55,Mayo,US,38.8876,-76.5119,77.09,81,0,1.01,clear sky
56,Butaritari,KI,3.0707,172.7902,81.63,70,89,17.11,overcast clouds
57,Pella,RU,59.7775,30.8181,63.03,74,11,5.75,few clouds
58,Izhmorskiy,RU,56.194,86.6414,74.98,63,9,4.76,clear sky
59,Poum,NC,-20.2333,164.0167,72.43,73,60,19.89,broken clouds
60,Sao Joao Da Ponte,BR,-15.9292,-44.0078,65.82,40,0,2.44,clear sky
61,Liuzhou,CN,24.3126,109.3892,94.08,48,49,5.44,scattered clouds
62,Harper,LR,4.375,-7.7169,74.93,81,99,5.28,overcast clouds
63,Obihiro,JP,42.9172,143.2044,86.0,71,94,14.2,moderate rain
64,Kintampo,GH,8.0563,-1.7306,70.09,93,100,3.91,light rain
65,Victoria,HK,22.2855,114.1577,94.96,64,15,5.99,few clouds
66,Lorengau,PG,-2.0226,147.2712,85.28,64,80,11.21,broken clouds
67,Narsaq,GL,60.9167,-46.05,46.62,92,40,3.04,scattered clouds
68,Surgut,RU,61.25,73.4167,64.58,59,40,15.99,scattered clouds
69,Rawson,AR,-43.3002,-65.1023,42.84,66,75,8.57,broken clouds
70,Karonga,MW,-9.9333,33.9333,68.34,71,33,2.15,scattered clouds
71,Monopoli,IT,40.9559,17.2896,79.75,73,2,15.79,clear sky
72,Arlit,NE,18.7369,7.3853,85.87,42,18,16.6,few clouds
73,Nuuk,GL,64.1835,-51.7216,43.41,87,71,8.05,broken clouds
74,Luderitz,NA,-26.6481,15.1594,50.85,69,0,17.47,clear sky
75,Nuevitas,CU,21.5453,-77.2644,79.34,83,36,12.66,scattered clouds
76,Kurumkan,RU,54.3,110.3,62.82,90,100,5.37,overcast clouds
