City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-07-31 02:02:42,3.0707,172.7902,81.32,74,92,15.57
1,Rikitea,PF,2022-07-31 02:01:07,-23.1203,-134.9692,72.93,75,5,15.95
2,Skara,SE,2022-07-31 02:02:43,58.3866,13.4384,58.23,86,83,5.08
3,Yulara,AU,2022-07-31 02:02:43,-25.2406,130.9889,65.7,41,10,14.32
4,Jamestown,US,2022-07-31 02:00:03,42.097,-79.2353,64.71,54,1,2.21
5,Panaba,MX,2022-07-31 02:02:44,21.2833,-88.2667,76.91,84,92,8.99
6,Atuona,PF,2022-07-31 02:01:12,-9.8,-139.0333,76.75,77,12,14.45
7,Dikson,RU,2022-07-31 02:01:18,73.5069,80.5464,41.34,94,99,10.38
8,Bahia Blanca,AR,2022-07-31 01:58:00,-38.7196,-62.2724,50.43,66,100,3.65
9,Albany,US,2022-07-31 02:02:18,42.6001,-73.9662,71.64,68,0,6.24
10,Sindal,DK,2022-07-31 02:02:45,57.4712,10.2031,58.73,94,98,6.4
11,Hermanus,ZA,2022-07-31 02:02:45,-34.4187,19.2345,44.8,69,49,4.85
12,Sisimiut,GL,2022-07-31 02:02:46,66.9395,-53.6735,47.14,79,82,0.47
13,Punta Arenas,CL,2022-07-31 02:01:07,-53.15,-70.9167,41.11,68,99,26.71
14,Kodiak,US,2022-07-31 02:02:46,57.79,-152.4072,62.11,72,100,10.36
15,Santa Isabel Do Rio Negro,BR,2022-07-31 02:02:47,-0.4139,-65.0192,71.85,98,84,2.28
16,Barrow,US,2022-07-31 02:02:47,71.2906,-156.7887,35.62,87,100,8.05
17,Tuktoyaktuk,CA,2022-07-31 02:02:48,69.4541,-133.0374,46.29,61,88,5.7
18,Ushuaia,AR,2022-07-31 02:01:14,-54.8,-68.3,42.46,70,40,20.71
19,Ribeira Grande,PT,2022-07-31 02:02:49,38.5167,-28.7,73.81,70,15,1.32
20,Dubbo,AU,2022-07-31 02:02:49,-32.25,148.6167,51.93,62,75,5.75
21,Carnarvon,AU,2022-07-31 02:00:25,-24.8667,113.6333,64.78,45,5,16.26
22,Coahuayana,MX,2022-07-31 02:02:50,18.7333,-103.6833,79.68,82,100,1.77
23,Mataura,NZ,2022-07-31 02:02:50,-46.1927,168.8643,46.47,94,98,6.91
24,North Myrtle Beach,US,2022-07-31 02:02:51,33.816,-78.68,82.11,92,0,0.0
25,Busselton,AU,2022-07-31 02:02:51,-33.65,115.3333,57.81,63,59,10.18
